"117y -- Palvelujen tuottajahintaindeksi (2005=100), vuosittain, 2000-2023"

"Vuosi";"Toimiala";"Vuosimuutos, %"
"2000";"6820A Toimistotilojen vuokrat";.
"2001";"6820A Toimistotilojen vuokrat";8.1
"2002";"6820A Toimistotilojen vuokrat";7.8
"2003";"6820A Toimistotilojen vuokrat";5.6
"2004";"6820A Toimistotilojen vuokrat";1.7
"2005";"6820A Toimistotilojen vuokrat";1.2
"2006";"6820A Toimistotilojen vuokrat";0.1
"2007";"6820A Toimistotilojen vuokrat";1.2
"2008";"6820A Toimistotilojen vuokrat";2.6
"2009";"6820A Toimistotilojen vuokrat";4.5
"2010";"6820A Toimistotilojen vuokrat";3.8
"2011";"6820A Toimistotilojen vuokrat";-0.2
"2012";"6820A Toimistotilojen vuokrat";3.5
"2013";"6820A Toimistotilojen vuokrat";2.8
"2014";"6820A Toimistotilojen vuokrat";1.5
"2015";"6820A Toimistotilojen vuokrat";-0.2
"2016";"6820A Toimistotilojen vuokrat";0.7
"2017";"6820A Toimistotilojen vuokrat";0.9
"2018";"6820A Toimistotilojen vuokrat";1.0
"2019";"6820A Toimistotilojen vuokrat";1.1
"2020";"6820A Toimistotilojen vuokrat";0.4
"2021";"6820A Toimistotilojen vuokrat";1.7
"2022";"6820A Toimistotilojen vuokrat";4.5
"2023";"6820A Toimistotilojen vuokrat";5.9
