"Rakennuskustannusindeksi kustannuslajeittain, vuositiedot muuttujina Vuosi, Perusvuosi, Indeksi ja Tiedot",,
,,
,,1995=100
,,0 Kokonaisindeksi
,,"Vuosimuutos, %"
1990,1990,.
1991,1991,.
1992,1992,.
1993,1993,.
1994,1994,.
1995,1995,.
1996,1996,-1.1
1997,1997,2.4
1998,1998,2.3
1999,1999,1.4
2000,2000,3.0
2001,2001,2.9
2002,2002,0.8
2003,2003,1.9
2004,2004,2.4
2005,2005,3.7
2006,2006,3.7
2007,2007,5.9
2008,2008,3.9
2009,2009,-1.1
2010,2010,1.1
2011,2011,3.3
2012,2012,2.4
2013,2013,1.0
2014,2014,1.0
2015,2015,0.5
2016,2016,0.5
2017,2017,0.3
2018,2018,2.2
2019,2019,1.0
2020,2020,-0.2
2021,2021,5.4
2022,2022,8.2
2023,2023,3.1
,,
<A HREF='https://stat.fi/tilasto/dokumentaatio/rki' TARGET=_blank>Tilaston dokumentaatio</A>,,
,,
Päivitetty viimeksi:,,
"Vuosimuutos, %:",,
20240115 08:00,,
,,
Lähde:,,
"Tilastokeskus, rakennuskustannusindeksi",,
,,
Yhteystiedot:,,
"Vuosimuutos, %:",,
<A HREF='https://stat.fi/tilasto/rki' TARGET=_blank>Tilaston kotisivu</A>,,
,,
Tekijänoikeus,,
,,
Yksikkö:,,
"Vuosimuutos, %:",,
%,,
,,
,,
,,
,,
,,
,,
Virallinen tilasto,,
,,
,,
Sisäinen viitekoodi:,,
001_11na_2023,,
